0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
262,0.543771044,166800,120100,0.720023981,500,200,2,15,6,500,DEVIANCE
263,0.536486486,143425,107050,0.746383127,500,150,2,15,3,1000,DEVIANCE
264,0.52972973,165500,130700,0.789728097,500,150,2,10,3,500,DEVIANCE
265,0.539358601,131450,104900,0.798022062,500,100,2,15,6,100,DEVIANCE
266,0.506122449,234750,190075,0.809691161,200,100,2,10,6,1000,DEVIANCE
267,0.508308895,129100,106175,0.822424477,200,100,7,10,3,100,DEVIANCE
268,0.494623656,129075,106425,0.824520628,200,100,7,10,6,50,DEVIANCE
269,0.518950437,200300,166600,0.831752371,500,100,2,10,3,100,DEVIANCE
270,0.497409326,129050,110100,0.853157691,400,200,7,15,6,100,DEVIANCE
271,0.536616162,185575,159125,0.857470026,400,200,2,10,3,1000,DEVIANCE
272,0.495504496,118250,105275,0.890274841,200,150,7,15,3,50,DEVIANCE
273,0.543243243,186700,166900,0.893947509,500,150,2,15,6,500,DEVIANCE
274,0.485314685,115175,104125,0.904059041,400,150,7,15,3,50,DEVIANCE
275,0.528767123,119200,108725,0.912122483,500,150,4,15,3,100,DEVIANCE
276,0.502040816,224450,207025,0.922365783,200,100,2,10,6,500,DEVIANCE
277,0.527027027,126900,117600,0.926713948,500,150,2,15,3,50,DEVIANCE
278,0.512953368,147800,138475,0.936907984,500,200,7,15,6,1000,DEVIANCE
279,0.514680484,131800,124275,0.942905918,500,200,7,10,3,500,DEVIANCE
280,0.513265306,172300,166575,0.96677307,200,100,2,10,3,1000,DEVIANCE
281,0.502097902,125975,123675,0.981742409,400,150,7,15,3,100,DEVIANCE
282,0.530612245,144575,142650,0.986685112,500,100,2,15,6,50,DEVIANCE
283,0.537900875,161750,161950,1.001236476,500,100,2,10,6,1000,DEVIANCE
284,0.53030303,140075,140875,1.005711226,400,200,2,15,3,100,DEVIANCE
285,0.514478764,137800,142650,1.035195936,200,150,2,10,6,500,DEVIANCE
286,0.533670034,126900,131550,1.036643026,500,200,2,10,6,50,DEVIANCE
287,0.54040404,178450,188275,1.055057439,400,200,2,10,6,100,DEVIANCE
288,0.518339768,172125,183150,1.064052288,200,150,2,10,6,100,DEVIANCE
289,0.525675676,137825,146800,1.06511881,400,150,2,15,6,50,DEVIANCE
290,0.543731778,152200,162450,1.067345598,500,100,2,15,6,1000,DEVIANCE
291,0.52755102,166525,179225,1.076264825,200,100,2,15,3,500,DEVIANCE
292,0.539189189,154300,169500,1.098509397,500,150,2,10,6,100,DEVIANCE
293,0.535353535,131675,149550,1.135750902,500,200,2,15,3,100,DEVIANCE
294,0.507331378,113825,130725,1.148473534,200,100,7,15,3,1000,DEVIANCE
295,0.54040404,126900,145950,1.150118203,500,200,2,10,6,100,DEVIANCE
296,0.537037037,126900,146800,1.156816391,500,200,2,15,3,500,DEVIANCE
297,0.532432432,146525,172950,1.180344651,500,150,2,15,3,100,DEVIANCE
298,0.518367347,169825,206775,1.217576917,200,100,2,15,6,100,DEVIANCE
299,0.535353535,166075,202675,1.220382357,400,200,2,10,6,500,DEVIANCE
300,0.521526419,131700,161375,1.225322703,200,150,4,10,6,50,DEVIANCE
301,0.504181601,128975,158525,1.229114169,400,100,7,15,3,50,DEVIANCE
302,0.54040404,126900,158300,1.247438928,500,200,2,10,3,50,DEVIANCE
303,0.504317789,106675,135025,1.265760487,500,200,7,15,3,100,DEVIANCE
304,0.52972973,129150,165950,1.284939992,400,150,2,15,3,50,DEVIANCE
305,0.542857143,133750,174225,1.302616822,200,100,2,15,3,50,DEVIANCE
306,0.54040404,126900,167150,1.317178881,500,200,2,15,3,1000,DEVIANCE
307,0.53030303,108525,143250,1.319972357,500,200,2,10,6,1000,DEVIANCE
308,0.523316062,133150,176325,1.324258355,500,200,7,10,3,1000,DEVIANCE
309,0.516438356,84750,112575,1.328318584,500,150,4,15,3,50,DEVIANCE
310,0.550505051,126900,169400,1.334909377,500,200,2,15,3,50,DEVIANCE
311,0.534985423,134700,182450,1.354491463,500,100,2,10,6,500,DEVIANCE
312,0.528619529,126900,173800,1.369582348,500,200,2,10,3,100,DEVIANCE
313,0.506353861,111125,153125,1.377952756,200,100,7,15,3,50,DEVIANCE
314,0.536989796,149950,206725,1.378626209,400,100,2,10,6,50,DEVIANCE
315,0.532432432,124400,178600,1.435691318,400,150,2,10,6,50,DEVIANCE
316,0.535135135,132850,190750,1.435829883,500,150,2,15,6,1000,DEVIANCE
317,0.528378378,120775,174500,1.444835438,400,150,2,15,6,100,DEVIANCE
318,0.534985423,129350,191900,1.483571705,500,100,2,10,3,1000,DEVIANCE
319,0.534090909,155275,234225,1.508452745,400,200,2,10,6,1000,DEVIANCE
320,0.538720539,108525,163750,1.508868924,500,200,2,15,6,1000,DEVIANCE
321,0.528497409,89675,135425,1.510175634,500,200,7,10,6,50,DEVIANCE
322,0.498533724,101550,154125,1.517725258,200,100,7,10,3,500,DEVIANCE
323,0.528378378,140825,215550,1.530623114,400,150,2,15,3,500,DEVIANCE
324,0.528957529,125800,192700,1.531796502,200,150,2,15,3,100,DEVIANCE
325,0.505102041,111100,172000,1.548154815,500,200,4,10,6,100,DEVIANCE
326,0.540540541,134250,208350,1.551955307,500,150,2,10,6,500,DEVIANCE
327,0.540540541,142950,222750,1.558237146,500,150,2,10,6,1000,DEVIANCE
328,0.525440313,121550,194525,1.600370218,200,150,4,10,6,100,DEVIANCE
329,0.519305019,107000,171650,1.604205607,200,150,2,10,3,100,DEVIANCE
330,0.527027027,130525,210550,1.613100939,400,150,2,15,6,1000,DEVIANCE
331,0.538720539,126900,206300,1.625689519,500,200,2,10,3,500,DEVIANCE
332,0.522504892,108075,175725,1.625954198,200,150,4,10,3,100,DEVIANCE
333,0.540540541,136725,222350,1.626257085,500,150,2,15,6,100,DEVIANCE
334,0.527027027,105775,172100,1.627038525,400,150,2,10,3,500,DEVIANCE
335,0.52755102,118525,194325,1.639527526,200,100,2,15,3,100,DEVIANCE
336,0.545945946,147925,242600,1.640020281,500,150,2,10,3,1000,DEVIANCE
337,0.518134715,125750,213775,1.7,500,200,7,15,3,1000,DEVIANCE
338,0.52972973,82575,140950,1.706933091,400,150,2,15,3,100,DEVIANCE
339,0.527027027,147175,253550,1.722779005,400,150,2,15,3,1000,DEVIANCE
340,0.541836735,163475,287125,1.756384768,200,100,2,10,3,50,DEVIANCE
341,0.543771044,108525,192100,1.770099056,500,200,2,10,3,1000,DEVIANCE
342,0.529591837,162975,288625,1.770977144,200,100,2,10,6,100,DEVIANCE
343,0.535353535,108525,196900,1.814328496,500,200,2,10,6,500,DEVIANCE
344,0.548821549,108525,197250,1.817553559,500,200,2,15,6,50,DEVIANCE
345,0.525096525,130250,238100,1.828023033,200,150,2,10,3,50,DEVIANCE
346,0.540540541,118450,218150,1.841705361,400,150,2,10,3,50,DEVIANCE
347,0.542091837,143475,265825,1.852761805,400,100,2,10,6,100,DEVIANCE
348,0.525510204,121650,226075,1.858405261,200,100,2,15,6,50,DEVIANCE
349,0.550505051,108525,204900,1.888044229,500,200,2,15,6,100,DEVIANCE
350,0.533783784,109500,209000,1.908675799,400,150,2,10,3,100,DEVIANCE
351,0.519569472,104825,209025,1.994037682,200,150,4,10,6,500,DEVIANCE
352,0.540816327,144400,291975,2.021987535,400,100,2,10,3,500,DEVIANCE
353,0.534693878,149250,307375,2.059463987,200,100,2,10,6,50,DEVIANCE
354,0.543367347,96300,199775,2.07450675,400,100,2,15,6,50,DEVIANCE
355,0.519569472,108850,234375,2.153192467,200,150,4,10,6,1000,DEVIANCE
356,0.510155317,92675,208675,2.251685999,400,100,7,15,3,100,DEVIANCE
357,0.547297297,136725,309500,2.263667947,500,150,2,15,6,50,DEVIANCE
358,0.530888031,113775,260300,2.287848824,200,150,2,15,3,500,DEVIANCE
359,0.530224525,132800,305225,2.298381024,500,200,7,15,3,500,DEVIANCE
360,0.533783784,104750,261250,2.494033413,200,150,2,15,3,50,DEVIANCE
361,0.542091837,140225,361925,2.581030487,400,100,2,15,3,1000,DEVIANCE
362,0.532432432,107425,277900,2.586921108,400,150,2,15,6,500,DEVIANCE
363,0.557397959,132325,348325,2.632344606,400,100,2,15,3,500,DEVIANCE
364,0.530612245,144025,380575,2.64242319,200,100,2,10,3,500,DEVIANCE
365,0.543877551,119400,316475,2.650544389,200,100,2,10,3,100,DEVIANCE
366,0.535714286,111650,303375,2.717196597,400,100,2,15,6,1000,DEVIANCE
367,0.545918367,126625,344475,2.720434353,400,100,2,10,6,500,DEVIANCE
368,0.506353861,76150,209025,2.744911359,200,100,7,10,3,1000,DEVIANCE
369,0.547193878,104950,289525,2.758694616,400,100,2,15,3,50,DEVIANCE
370,0.515444015,101075,279600,2.766262676,200,150,2,15,6,50,DEVIANCE
371,0.530612245,103150,287200,2.784294716,500,200,4,10,6,50,DEVIANCE
372,0.531081081,87650,245300,2.798630918,400,150,2,10,6,100,DEVIANCE
373,0.551020408,93225,263925,2.831053902,400,100,2,15,6,100,DEVIANCE
374,0.532432432,92550,268500,2.901134522,400,150,2,10,3,1000,DEVIANCE
375,0.543367347,121075,359075,2.965723725,400,100,2,10,3,1000,DEVIANCE
376,0.526061776,88300,263250,2.981313703,200,150,2,15,6,100,DEVIANCE
377,0.542091837,106425,336725,3.163965234,400,100,2,10,6,1000,DEVIANCE
378,0.530791789,89200,309525,3.470011211,200,100,7,10,3,50,DEVIANCE
379,0.549744898,91125,316925,3.477914952,400,100,2,10,3,50,DEVIANCE
380,0.551020408,101950,363425,3.564737616,400,100,2,15,3,100,DEVIANCE
381,0.545918367,112900,420075,3.720770593,400,100,2,15,6,500,DEVIANCE
382,0.545918367,101175,399725,3.950827774,400,100,2,10,3,100,DEVIANCE
383,0.532432432,81750,342950,4.195107034,400,150,2,10,6,1000,DEVIANCE
384,0.535135135,83400,365600,4.383693046,400,150,2,10,6,500,DEVIANCE
