,NUMERO_PREDITTORI,COVERAGE,MEDIA_ACCURATEZZE,MEDIE_INFERIORI,MAXDRAWDOWN,END/MDD,END
0,10,65.40322581,0.513311038,0,48075,5.4212,260625
1,20,58.22580645,0.514381884,0,31312.5,9.2355,289287.5
