0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
390,0.51690051,53312.5,36412.5,0.683001172,1500,100,2,10,3,500,DEVIANCE
391,0.54021879,49562.5,33400,0.673896595,1500,150,2,15,3,50,DEVIANCE
392,0.511627907,66587.5,44212.5,0.663975971,450,100,2,15,3,500,DEVIANCE
393,0.523915816,50775,33362.5,0.657065485,1500,100,2,15,3,100,DEVIANCE
394,0.506578947,30262.5,19862.5,0.656340355,1000,100,4,10,3,1000,DEVIANCE
395,0.502739726,49575,32200,0.649520928,200,150,4,10,3,1000,DEVIANCE
396,0.505087209,42787.5,27700,0.647385335,450,100,4,15,3,1000,DEVIANCE
397,0.516903313,31912.5,20550,0.643948296,1500,500,7,10,6,50,DEVIANCE
398,0.510110894,40387.5,25975,0.643144537,1500,150,4,15,3,1000,DEVIANCE
399,0.522088353,48412.5,31000,0.640330493,1500,500,2,10,6,1000,DEVIANCE
400,0.525201613,40087.5,25200,0.628624883,1500,500,4,15,3,500,DEVIANCE
401,0.499629904,37575,23412.5,0.623087159,450,200,7,15,3,1000,DEVIANCE
402,0.505895692,65700,40450,0.615677321,200,100,2,15,6,500,DEVIANCE
403,0.507171543,53387.5,32825,0.614844299,1000,500,2,15,3,1000,DEVIANCE
404,0.507972028,31237.5,19125,0.612244898,1000,150,7,15,3,100,DEVIANCE
405,0.515782828,45025,27425,0.609106052,1500,200,2,15,6,1000,DEVIANCE
406,0.507709751,56850,34625,0.609058927,200,100,2,10,6,1000,DEVIANCE
407,0.505721551,39187.5,23812.5,0.607655502,1500,150,7,10,3,1000,DEVIANCE
408,0.512953368,57050,34662.5,0.607581069,1500,200,7,15,6,1000,DEVIANCE
409,0.515765766,48650,29400,0.604316547,1500,150,2,15,6,500,DEVIANCE
410,0.508811189,43850,26100,0.595210946,1000,150,7,15,3,1000,DEVIANCE
411,0.518308081,50975,30250,0.593428151,1500,200,2,10,6,1000,DEVIANCE
412,0.512941919,42600,25237.5,0.592429577,1500,100,4,15,6,1000,DEVIANCE
413,0.522321429,49212.5,28912.5,0.587503175,1500,100,2,10,6,100,DEVIANCE
414,0.499136442,34462.5,20237.5,0.587232499,450,200,7,10,3,1000,DEVIANCE
415,0.507278559,41162.5,24087.5,0.585180686,450,200,7,10,6,50,DEVIANCE
416,0.511827957,34512.5,20187.5,0.584932995,450,100,7,15,6,50,DEVIANCE
417,0.503854875,59800,34725,0.580685619,200,100,2,15,6,1000,DEVIANCE
418,0.502741228,41712.5,24137.5,0.57866347,1000,100,4,10,6,500,DEVIANCE
419,0.532128514,48800,28125,0.576331967,1500,500,2,15,6,50,DEVIANCE
420,0.514204545,36850,21000,0.569877883,1500,200,2,15,6,100,DEVIANCE
421,0.514204545,50475,28350,0.56166419,1500,200,2,15,6,500,DEVIANCE
422,0.519825269,45175,25300,0.560044272,1500,500,4,10,3,500,DEVIANCE
423,0.506872438,38812.5,21725,0.559742351,450,150,7,15,3,500,DEVIANCE
424,0.511200717,52975,29512.5,0.557102407,200,100,7,10,3,50,DEVIANCE
425,0.502819761,38250,21287.5,0.556535948,200,150,7,15,3,50,DEVIANCE
426,0.521364796,45912.5,25087.5,0.54641982,1500,200,4,10,6,500,DEVIANCE
427,0.5056926,38075,20575,0.540380827,1500,100,7,10,3,500,DEVIANCE
428,0.513323643,49875,26850,0.538345865,450,100,4,10,6,1000,DEVIANCE
429,0.522002551,52487.5,28062.5,0.534651107,1500,200,4,15,3,500,DEVIANCE
430,0.504385965,46962.5,24912.5,0.530476444,1000,100,4,10,6,1000,DEVIANCE
431,0.50861678,56625,29700,0.524503311,200,100,2,15,6,50,DEVIANCE
432,0.519219736,41525,21625,0.52077062,1000,500,2,10,3,500,DEVIANCE
433,0.500226449,50812.5,26312.5,0.517835178,200,100,4,15,6,100,DEVIANCE
434,0.503776224,36237.5,18750,0.5174198,1000,150,7,15,3,500,DEVIANCE
435,0.498082563,39675,20437.5,0.515122873,200,150,7,15,6,100,DEVIANCE
436,0.513321995,52537.5,26450,0.503449917,1000,200,4,15,6,1000,DEVIANCE
437,0.514520202,36650,18300,0.499317872,1500,200,2,10,3,500,DEVIANCE
438,0.50551572,35462.5,17462.5,0.492421572,1000,100,2,10,6,1000,DEVIANCE
439,0.51690051,51500,25287.5,0.491019417,1500,100,2,10,6,500,DEVIANCE
440,0.51868012,34675,16850,0.48594088,1000,200,7,10,3,50,DEVIANCE
441,0.511679293,29900,14462.5,0.483695652,1500,100,4,15,3,1000,DEVIANCE
442,0.502927928,44025,21200,0.481544577,200,150,2,10,6,50,DEVIANCE
443,0.512048193,48225,22500,0.466562986,1000,500,2,10,6,500,DEVIANCE
444,0.50861678,47975,22000,0.458572173,200,100,2,15,3,100,DEVIANCE
445,0.5,40225,18387.5,0.457116221,1000,100,4,10,3,500,DEVIANCE
446,0.507256236,52687.5,24050,0.456465006,200,100,2,15,3,500,DEVIANCE
447,0.506122449,53687.5,23550,0.438649593,200,100,2,10,3,500,DEVIANCE
448,0.518741633,34425,14875,0.432098765,1500,500,2,15,3,1000,DEVIANCE
449,0.50828853,52300,22212.5,0.424713193,200,100,7,15,6,100,DEVIANCE
450,0.515151515,37775,15875,0.420251489,1500,200,2,15,3,1000,DEVIANCE
451,0.505385488,51725,21725,0.420009667,1000,200,4,10,6,500,DEVIANCE
452,0.507657658,47737.5,19350,0.405341712,200,150,2,10,3,50,DEVIANCE
453,0.49740582,38750,15287.5,0.394516129,200,150,7,10,3,100,DEVIANCE
