0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
437,0.509295946,25.985,19.91,0.766211276,450,200,7,15,6,50,DEVIANCE
438,0.503496503,25.815,19.85,0.768932791,1000,150,7,10,6,1000,DEVIANCE
439,0.514212828,20.765,16.0575,0.773296412,1000,100,2,15,6,50,DEVIANCE
440,0.515562249,16.98,13.2775,0.781949352,1500,500,2,15,3,50,DEVIANCE
441,0.507575758,17.72,14.1525,0.798673815,1000,200,2,15,6,50,DEVIANCE
442,0.511044177,13.48,10.8825,0.807307122,1500,500,2,10,6,1000,DEVIANCE
443,0.500370096,20.065,16.235,0.809120359,1000,200,7,15,6,100,DEVIANCE
444,0.516935484,16.445,13.355,0.812100943,1000,500,4,15,3,100,DEVIANCE
445,0.505942275,16.83,13.7425,0.816547831,200,100,7,15,6,50,DEVIANCE
446,0.514558233,14.7,12.0775,0.821598639,1500,500,2,15,3,100,DEVIANCE
447,0.494937463,14.065,11.755,0.835762531,450,150,4,15,3,500,DEVIANCE
448,0.516069789,12.81,10.775,0.841139735,1500,200,2,10,6,100,DEVIANCE
449,0.525607639,19.42,16.6775,0.858779609,1500,100,4,15,6,50,DEVIANCE
450,0.500184026,17.335,14.97,0.863570811,1000,150,7,15,3,500,DEVIANCE
451,0.512004802,33.415,28.86,0.863683974,450,100,2,15,6,100,DEVIANCE
452,0.50296077,13.415,11.605,0.865076407,1000,200,7,10,6,100,DEVIANCE
453,0.495629371,13.655,11.9275,0.873489564,1500,150,7,15,3,1000,DEVIANCE
454,0.526612903,24.11,21.47,0.890501866,1000,500,4,15,3,50,DEVIANCE
455,0.519520852,15.725,14.1275,0.898410175,1500,100,2,15,3,50,DEVIANCE
456,0.517642643,19.325,17.3775,0.899223803,1000,150,2,10,3,100,DEVIANCE
457,0.500896057,10.695,9.635,0.900888266,1500,100,7,15,3,50,DEVIANCE
