0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
549,0.531597222,25375,90220,3.55546798,1000,100,4,15,6,50,DEVIANCE
550,0.514957265,28825,102810,3.566695577,200,100,4,15,3,100,DEVIANCE
551,0.521974307,21037.5,75100,3.569815805,1000,500,7,10,6,500,DEVIANCE
552,0.519507803,19012.5,67945,3.573701512,450,200,4,10,6,500,DEVIANCE
553,0.51880787,20887.5,74712.5,3.57690006,450,100,4,10,3,50,DEVIANCE
554,0.527199074,33537.5,120347.5,3.58844577,450,100,4,15,3,50,DEVIANCE
555,0.522650439,22662.5,81935,3.615444015,1000,500,7,15,6,100,DEVIANCE
556,0.530555556,21187.5,77000,3.634218289,1000,100,4,15,3,100,DEVIANCE
557,0.521308523,23585,88555,3.754716981,450,200,4,10,3,50,DEVIANCE
558,0.514269406,20212.5,76572.5,3.788373531,450,150,4,15,3,100,DEVIANCE
559,0.518835616,24965,95347.5,3.819246946,450,150,4,15,3,1000,DEVIANCE
560,0.530522088,18112.5,69197.5,3.820427881,1000,500,2,10,6,50,DEVIANCE
561,0.53125,20187.5,77532.5,3.840619195,1500,100,4,15,3,500,DEVIANCE
562,0.535102041,21687.5,83310,3.841383285,1500,100,2,15,3,100,DEVIANCE
563,0.526041667,21050,81865,3.889073634,1000,100,4,10,6,50,DEVIANCE
564,0.53373494,17475,67967.5,3.889413448,1000,500,2,15,6,100,DEVIANCE
565,0.53277027,27087.5,106215,3.921181357,1000,150,2,10,3,100,DEVIANCE
566,0.516944594,25627.5,100535,3.922934348,200,150,7,15,6,1000,DEVIANCE
567,0.509154316,21125,83085,3.933017751,450,100,7,15,3,500,DEVIANCE
568,0.526388889,24462.5,96315,3.937250894,1000,100,4,15,6,100,DEVIANCE
569,0.517361111,20837.5,82107.5,3.940371926,450,100,4,10,6,100,DEVIANCE
570,0.531632653,23950,94382.5,3.940814196,1000,100,2,15,6,100,DEVIANCE
571,0.527822581,19950,78665,3.943107769,1000,500,4,10,6,100,DEVIANCE
572,0.516806723,24350,96460,3.961396304,450,200,4,15,3,100,DEVIANCE
573,0.533130494,23250,93775,4.033333333,1000,500,7,15,3,50,DEVIANCE
574,0.509615385,19650,79685,4.055216285,200,100,4,15,3,1000,DEVIANCE
575,0.518607443,20087.5,81545,4.059489732,450,200,4,10,3,1000,DEVIANCE
576,0.520441097,25732.5,105305,4.092295735,200,150,7,10,3,500,DEVIANCE
577,0.528571429,24387.5,100345,4.114607893,1000,200,4,10,3,100,DEVIANCE
578,0.537671233,23812.5,99347.5,4.172073491,1500,150,4,15,3,100,DEVIANCE
579,0.508573089,21000,87745,4.178333333,450,100,7,10,3,500,DEVIANCE
580,0.515006002,22500,94460,4.198222222,450,200,4,10,6,50,DEVIANCE
581,0.518907563,23012.5,97025,4.216186855,450,200,4,10,3,100,DEVIANCE
582,0.52824099,30087.5,127060,4.223016203,200,150,7,15,6,100,DEVIANCE
583,0.537083333,17875,75537.5,4.225874126,1500,100,4,10,3,100,DEVIANCE
584,0.516675632,26930,114895,4.266431489,200,150,7,10,3,50,DEVIANCE
585,0.518835616,22787.5,97447.5,4.276357652,450,150,4,15,3,500,DEVIANCE
586,0.520960108,25225,109095,4.324876115,1000,500,7,10,3,1000,DEVIANCE
