0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
210,0.519274376,49987.5,13662.5,0.27331833,500,100,2,15,3,1000,DEVIANCE
211,0.502546689,31450,8450,0.268680445,500,100,7,15,3,500,DEVIANCE
212,0.504226888,39787.5,10450,0.262645303,400,200,7,15,6,500,DEVIANCE
213,0.515719801,50475,13237.5,0.262258544,400,100,2,10,3,500,DEVIANCE
214,0.515589569,40425,10312.5,0.255102041,500,100,2,15,3,50,DEVIANCE
215,0.502416756,44725,10900,0.243711571,300,200,4,15,6,50,DEVIANCE
216,0.517857143,52375,12237.5,0.233651551,500,100,2,15,6,50,DEVIANCE
217,0.500954459,42025,8825,0.209994051,400,200,7,15,3,1000,DEVIANCE
218,0.509009009,24825,5037.5,0.202920443,500,100,4,15,3,500,DEVIANCE
219,0.507653061,35775,7050,0.19706499,500,200,4,15,6,500,DEVIANCE
220,0.512365591,29075,5450,0.18744626,300,100,7,15,3,100,DEVIANCE
221,0.507601351,41150,6012.5,0.146111786,500,100,4,10,3,500,DEVIANCE
222,0.509935553,40787.5,5700,0.139748698,300,100,2,10,6,1000,DEVIANCE
223,0.516439909,48625,6337.5,0.13033419,500,100,2,15,6,100,DEVIANCE
224,0.514616657,44487.5,5537.5,0.124473167,400,100,2,10,3,50,DEVIANCE
225,0.509353741,35412.5,4387.5,0.123896929,500,100,2,10,6,1000,DEVIANCE
226,0.498130342,34675,3550,0.102379236,300,100,4,15,6,100,DEVIANCE
227,0.508786848,40475,3925,0.09697344,400,200,4,10,3,500,DEVIANCE
228,0.508786848,69075,6625,0.095910242,400,200,4,10,3,100,DEVIANCE
229,0.508219955,56637.5,4550,0.080335467,400,200,4,15,3,50,DEVIANCE
230,0.515860215,46800,3650,0.077991453,300,100,7,15,3,50,DEVIANCE
231,0.513795045,41000,2687.5,0.06554878,500,100,4,15,3,100,DEVIANCE
232,0.517857143,55512.5,3175,0.057194326,500,200,4,10,6,100,DEVIANCE
233,0.504111842,36362.5,1825,0.050189068,400,100,4,15,6,100,DEVIANCE
234,0.508324382,36025,1375,0.038167939,300,100,2,15,3,1000,DEVIANCE
235,0.502192982,48312.5,1300,0.02690815,400,100,4,15,6,1000,DEVIANCE
236,0.504540598,41062.5,950,0.023135464,300,100,4,10,6,100,DEVIANCE
237,0.510487528,52362.5,875,0.016710432,500,200,4,15,3,100,DEVIANCE
238,0.50267094,40000,400,0.01,300,100,4,10,6,1000,DEVIANCE
239,0.513038549,61900,500,0.008077544,500,200,4,10,3,100,DEVIANCE
240,0.509129968,34350,-250,-0.00727802,300,100,2,15,6,500,DEVIANCE
241,0.510755654,48725,-637.5,-0.013083633,400,100,2,10,6,100,DEVIANCE
242,0.500136351,48400,-2175,-0.044938017,400,200,7,15,6,1000,DEVIANCE
243,0.498500136,32675,-2075,-0.063504208,400,200,7,10,3,100,DEVIANCE
244,0.51241037,46812.5,-3737.5,-0.079839786,400,100,2,10,6,1000,DEVIANCE
245,0.511824324,50050,-4787.5,-0.095654346,500,100,4,15,6,100,DEVIANCE
246,0.501772566,31150,-3375,-0.108346709,400,200,7,10,6,1000,DEVIANCE
247,0.510479868,50275,-5462.5,-0.108652412,400,100,2,15,6,500,DEVIANCE
248,0.508592911,43350,-5700,-0.131487889,300,100,2,10,3,1000,DEVIANCE
249,0.50400641,42587.5,-6975,-0.163780452,300,100,4,10,3,100,DEVIANCE
250,0.495472552,46550,-8000,-0.171858217,500,100,7,15,3,1000,DEVIANCE
251,0.512188209,45087.5,-7912.5,-0.175492099,500,100,2,15,3,100,DEVIANCE
252,0.509376724,73200,-13212.5,-0.180498634,400,100,2,15,3,500,DEVIANCE
253,0.499462943,63850,-13275,-0.207909162,300,200,4,15,6,100,DEVIANCE
254,0.503446374,42475,-9337.5,-0.219835197,400,100,7,10,3,100,DEVIANCE
255,0.498925886,41262.5,-9800,-0.237503787,300,200,4,15,6,500,DEVIANCE
256,0.509935553,43575,-11375,-0.261044177,300,100,2,10,6,500,DEVIANCE
257,0.498227434,44337.5,-11825,-0.266704257,400,200,7,10,6,500,DEVIANCE
258,0.509920635,47312.5,-12650,-0.267371202,500,200,4,15,3,1000,DEVIANCE
259,0.510755654,53300,-14387.5,-0.269934334,400,100,2,10,3,100,DEVIANCE
260,0.501499864,41487.5,-11425,-0.275384152,400,200,7,10,3,500,DEVIANCE
261,0.497136624,42112.5,-12525,-0.297417631,400,200,7,15,3,500,DEVIANCE
