0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
602,0.511337868,740.5,2211,2.985820392,1000,100,2,10,3,100,DEVIANCE
603,0.515662651,887.5,2714.5,3.058591549,1000,500,2,15,3,50,DEVIANCE
604,0.520582329,716.5,2272,3.170969993,1500,500,2,10,3,50,DEVIANCE
605,0.515467172,891,2839.5,3.186868687,450,200,2,15,6,1000,DEVIANCE
606,0.507239382,573,1958.5,3.417975567,1500,150,2,15,3,500,DEVIANCE
607,0.521756022,597.5,2059,3.446025105,1000,200,2,10,3,50,DEVIANCE
608,0.515444015,498.5,1766.5,3.543630893,1500,150,2,15,3,100,DEVIANCE
609,0.519305019,573,2099.5,3.664048866,1500,150,2,10,3,100,DEVIANCE
610,0.513573232,710.5,2652.5,3.733286418,450,200,2,15,6,500,DEVIANCE
611,0.513986014,675.5,2601,3.850481125,1000,200,2,15,3,500,DEVIANCE
612,0.518822394,674,2607.5,3.868694362,1500,150,2,15,6,100,DEVIANCE
613,0.505668934,652,2538,3.892638037,1000,100,2,15,6,50,DEVIANCE
614,0.508433735,777.5,3113.5,4.004501608,1000,500,2,15,3,500,DEVIANCE
615,0.515873016,655.5,2682,4.091533181,1000,100,2,15,3,100,DEVIANCE
616,0.52027027,687.5,2881,4.190545455,1000,150,2,10,3,50,DEVIANCE
617,0.504417671,606.5,2679.5,4.41797197,1000,500,2,10,6,100,DEVIANCE
618,0.516141141,642,2884,4.492211838,1000,150,2,10,3,100,DEVIANCE
619,0.513209013,583.5,2638,4.520994002,1000,200,2,10,3,100,DEVIANCE
620,0.526061776,624.5,3118.5,4.993594876,1500,150,2,15,3,50,DEVIANCE
621,0.519787645,513,2847.5,5.550682261,1500,150,2,15,6,50,DEVIANCE
622,0.515662651,544.5,3712.5,6.818181818,1000,500,2,10,3,50,DEVIANCE
623,0.515261044,610.5,4322.5,7.08026208,1000,500,2,10,6,50,DEVIANCE
624,0.510843373,539,4052.5,7.518552876,1000,500,2,10,3,100,DEVIANCE
